STT,TÊN SÁCH,TÁC GIẢ,DẠNG SÁCH,THỂ LOẠI,ĐỘ VINTAGE SÁCH (%),GIÁ
1,Đắc nhân tâm,Dale Carnege ,Đơn ,Kỹ năng ,0.9,50000
2,Dạy con làm giàu,Robert T.Kiyosaki, Bộ 13 cuốn,Kỹ năng,0.85,750000
3,Lời từ chối hoàn hảo,William Ury,Đơn,Kỹ năng,0.96,60000
4,Biến mọi thứ thành tiền,Nguyễn Anh Dũng,Bộ 2 tập,Kỹ năng,0.97,180000
5,Tư duy mở,Nguyễn Anh Dũng,Đơn,Kỹ năng,0.98,70000
6,Tư duy ngược,Nguyễn Anh Dũng,Đơn,Kỹ năng,0.97,80000
7,Làm như chơi,Minh Niệm,Đơn,Kỹ năng,0.75,60000
8,Khí chất bao nhiêu hạnh phúc bấy nhiêu,Vãn Tình,Đơn,Kỹ năng - Tâm lý,0.95,60000
9,Bạn đắt giá bao nhiêu?,Vãn Tình,Đơn,Kỹ năng - Tâm lý,0.97,60000
10,Trong đầu có dấu con voi,Kevin Simler & Robin Hanson,Đơn,Tâm lý,0.98,110000
11,Con đường tỷ phú (bìa cứng),Hồi ký Rich Devos,Đơn,Tự truyện - truyền cảm hứng,0.9,90000
12,33 Chiến lược của chiến tranh,Robert Greene,Đơn,Kỹ năng,0.9,120000
13,Tái tạo tổ chức (bìa cứng),Arthur Yeung & Dave Ulrich,Đơn,Kỹ năng,0.97,150000
14,Khắc kỷ - từ Zeno đến Marcus Aurelius,Ryan Holiday & Stephen Hanselman,Đơn,Kỹ năng,0.99,150000
15,21 bài học cho thế kỷ 21,Yuval Noah Harari,Đơn,Kỹ năng,0.95,120000
16,Chiến thắng con quỷ trong bạn,Think and Grow Rich ,Đơn,Kỹ năng,0.75,50000
17,Câu chuyện iphone,Brian Merchant,Đơn,Kỹ năng,0.9,150000
18,Content bạc tỷ ,Diệp Tiểu Ngư ,Đơn ,Kỹ năng,0.9,80000
19,Cách người do thái quản lý tiền và tài sản ,Tiến Thành - Bội Bội - Kiến Văn ,Đơn ,Kỹ năng,0.9,50000
20,36 kế trong kinh doanh hiện đại ,Lan Bercu ,Đơn ,Kỹ năng,0.75,40000
21,Tỷ phú bán giày ,Tony Hsieh ,Đơn ,Kỹ năng,0.75,80000
22,Phù thuỷ content ,Nhất Thiên Quân ,Đơn ,Kỹ năng,0.9,90000
23,Từ tốt đến vĩ đại ,Jim Collins ,Đơn ,Kỹ năng,0.7,50000
24,Finding Flow Đi tìm dòng chảy ,Mihaly Csikszentmihalyi ,Điwn ,Kỹ năng ,0.95,70000
25,9 lần khởi nghiệp ,Nguyễn Phương Nam ,Đơn ,Kỹ năng ,0.9,100000
26,Ước vọng về quốc gia lập trình ,Nguyễn Thanh Tùng ,Đơn ,Kỹ năng ,0.9,40000
27,Làm sếp không chỉ là nghệ thuật ,TS. David J. Lieberman ,Đơn ,Kỹ năng ,0.9,40000
28,Thư bán hàng đỉnh cao,Dan S.Kennedy ,Đơn ,Kỹ năng ,0.8,65000
29,Sói và dương cầm ,Diệp Lạc Vô Tâm,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.99,120000
30,Không có người như anh ,Tuế Kiến,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.99,250000
31,Thê Vi Thượng,Lục Dã Thiên Hạc,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.98,180000
32,Ương ngạnh,Bất Kiến Đương Niên,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.99,220000
33,Em là vì sao trong mắt anh,Lã Diệc Hàm,Đơn,Tiểu thuyết - ngôn tình,0.99,90000
34,Yêu em bằng cả trái tim anh,Điền Phản,Đơn,Tiểu thuyết - ngôn tình,0.98,75000
35,Bạn trai tôi mắc chứng hoang tưởng,Diệp Tử,Đơn,Tiểu thuyết - ngôn tình,0.99,100000
36,Qúy ngài đinh kiến,Khưu Trì,Đơn,Đam mỹ,0.99,100000
37,Thuyết tán tỉnh cậu,Jitti Rain,Đơn,Đam mỹ,0.98,110000
38,Ảnh đế,Mạn Mạn Kỳ Đà,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.97,180000
39,Hậu duệ mặt trời,Hyun Kyoung Son,Đơn,Tiểu thuyết - Ngôn tình,0.97,50000
40,Chủ tịch không yêu nữ chính,Thiên Diễn,Bộ 2 tập,Tiểu thuyết- Ngôn tình,0.99,140000
41,Rồi một ngày bạn sẽ hiểu,Mr.Thinker,Đơn,Tiểu thuyết - Ngôn tình,0.96,80000
42,Hãy bù đắp bằng sự kiên trì,Lư Tư Hạo,Đơn,Tiểu thuyết - Ngôn tình,0.97,70000
43,"Không cẩn thận, hoạ lớn rồi",Tuỳ Vũ Nhi An,Đơn,Tiểu thuyết - Ngôn tình,0.99,90000
44,Ông xã anh là ai,Vi Lộ Trần Hi,Đơn,Tiểu thuyết - Ngôn tình,0.99,70000
