ID,STT,TÊN SÁCH,TÁC GIẢ,DẠNG SÁCH,THỂ LOẠI,ĐỘ VINTAGE SÁCH (%),GIÁ
274759180,1,Đắc nhân tâm,Dale Carnege ,Đơn ,Kỹ năng ,0.9,50000
178944420,2,Dạy con làm giàu,Robert T.Kiyosaki, Bộ 13 cuốn,Kỹ năng,0.85,750000
273896962,3,Lời từ chối hoàn hảo,William Ury,Đơn,Kỹ năng,0.96,60000
196726736,4,Biến mọi thứ thành tiền,Nguyễn Anh Dũng,Bộ 2 tập,Kỹ năng,0.97,180000
271613423,5,Tư duy mở,Nguyễn Anh Dũng,Đơn,Kỹ năng,0.98,70000
275280044,6,Tư duy ngược,Nguyễn Anh Dũng,Đơn,Kỹ năng,0.97,80000
101695025,7,Làm như chơi,Minh Niệm,Đơn,Kỹ năng,0.75,60000
144250329,8,Khí chất bao nhiêu hạnh phúc bấy nhiêu,Vãn Tình,Đơn,Kỹ năng - Tâm lý,0.95,60000
144250329,9,Bạn đắt giá bao nhiêu?,Vãn Tình,Đơn,Kỹ năng - Tâm lý,0.97,60000
274844704,10,Trong đầu có dấu con voi,Kevin Simler & Robin Hanson,Đơn,Tâm lý,0.98,110000
254093344,11,Con đường tỷ phú (bìa cứng),Hồi ký Rich Devos,Đơn,Tự truyện - truyền cảm hứng,0.9,90000
173985476,12,33 Chiến lược của chiến tranh,Robert Greene,Đơn,Kỹ năng,0.9,120000
258571145,13,Tái tạo tổ chức (bìa cứng),Arthur Yeung & Dave Ulrich,Đơn,Kỹ năng,0.97,150000
213855971,14,Khắc kỷ - từ Zeno đến Marcus Aurelius,Ryan Holiday & Stephen Hanselman,Đơn,Kỹ năng,0.99,150000
277981960,15,21 bài học cho thế kỷ 21,Yuval Noah Harari,Đơn,Kỹ năng,0.95,120000
34445751,16,Chiến thắng con quỷ trong bạn,Think and Grow Rich ,Đơn,Kỹ năng,0.75,50000
2069337,17,Câu chuyện iphone,Brian Merchant,Đơn,Kỹ năng,0.9,150000
277240822,18,Content bạc tỷ ,Diệp Tiểu Ngư ,Đơn ,Kỹ năng,0.9,80000
247884821,19,Cách người do thái quản lý tiền và tài sản ,Tiến Thành - Bội Bội - Kiến Văn ,Đơn ,Kỹ năng,0.9,50000
55829941,20,36 kế trong kinh doanh hiện đại ,Lan Bercu ,Đơn ,Kỹ năng,0.75,40000
167613602,21,Tỷ phú bán giày ,Tony Hsieh ,Đơn ,Kỹ năng,0.75,80000
193439378,22,Phù thuỷ content ,Nhất Thiên Quân ,Đơn ,Kỹ năng,0.9,90000
250251718,23,Từ tốt đến vĩ đại ,Jim Collins ,Đơn ,Kỹ năng,0.7,50000
278031197,24,Finding Flow Đi tìm dòng chảy ,Mihaly Csikszentmihalyi ,Điwn ,Kỹ năng ,0.95,70000
144203242,25,9 lần khởi nghiệp ,Nguyễn Phương Nam ,Đơn ,Kỹ năng ,0.9,100000
271162870,26,Ước vọng về quốc gia lập trình ,Nguyễn Thanh Tùng ,Đơn ,Kỹ năng ,0.9,40000
68134178,27,Làm sếp không chỉ là nghệ thuật ,TS. David J. Lieberman ,Đơn ,Kỹ năng ,0.9,40000
274757326,28,Thư bán hàng đỉnh cao,Dan S.Kennedy ,Đơn ,Kỹ năng ,0.8,65000
43693037,29,Sói và dương cầm ,Diệp Lạc Vô Tâm,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.99,120000
278569967,30,Không có người như anh ,Tuế Kiến,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.99,250000
276908450,31,Thê Vi Thượng,Lục Dã Thiên Hạc,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.98,180000
277835381,32,Ương ngạnh,Bất Kiến Đương Niên,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.99,220000
29353834,33,Em là vì sao trong mắt anh,Lã Diệc Hàm,Đơn,Tiểu thuyết - ngôn tình,0.99,90000
562660,34,Yêu em bằng cả trái tim anh,Điền Phản,Đơn,Tiểu thuyết - ngôn tình,0.98,75000
73521903,35,Bạn trai tôi mắc chứng hoang tưởng,Diệp Tử,Đơn,Tiểu thuyết - ngôn tình,0.99,100000
203211985,36,Qúy ngài đinh kiến,Khưu Trì,Đơn,Đam mỹ,0.99,100000
7824124868,37,Thuyết tán tỉnh cậu,Jitti Rain,Đơn,Đam mỹ,0.98,110000
276919012,38,Ảnh đế,Mạn Mạn Kỳ Đà,Bộ 2 Tập,Tiểu thuyết - ngôn tình,0.97,180000
69286160,39,Hậu duệ mặt trời,Hyun Kyoung Son,Đơn,Tiểu thuyết - Ngôn tình,0.97,50000
156821176,40,Chủ tịch không yêu nữ chính,Thiên Diễn,Bộ 2 tập,Tiểu thuyết- Ngôn tình,0.99,140000
73463628,41,Rồi một ngày bạn sẽ hiểu,Mr.Thinker,Đơn,Tiểu thuyết - Ngôn tình,0.96,80000
181119335,42,Hãy bù đắp bằng sự kiên trì,Lư Tư Hạo,Đơn,Tiểu thuyết - Ngôn tình,0.97,70000
48136518,43,"Không cẩn thận, hoạ lớn rồi",Tuỳ Vũ Nhi An,Đơn,Tiểu thuyết - Ngôn tình,0.99,90000
204661034,44,Ông xã anh là ai,Vi Lộ Trần Hi,Đơn,Tiểu thuyết - Ngôn tình,0.99,70000
194959720,45,Xin em đứng đắn chút,Minh Nguyệt Thính Phong,Bộ 2 tập,Tiểu thuyết - Ngôn tình,0.99,160000
44866011,46,"Mập đẹp, béo dễ thương",Cửu Lộ Phi Hương,Đơn,Tiểu thuyết - Ngôn tình,0.99,100000
272365908,47,Em xấu vừa đúng kiểu anh thích ,Nam Hữu Tiên Sinh,Đơn,Tiểu thuyết - Ngôn Tình,0.97,70000
188534640,48,Chúc ngủ ngon rồi lại nhớ anh hơn,Alan Chen,Đơn,Tiểu thuyết - Ngôn tình,0.96,90000
257865776,49,Hồng nhan loạn ,Nguyệt Lạc,Bộ 2 tập,Tiểu thuyết - Ngôn tình,0.96,130.000)
73521903,50,Bạn trai tôi mắc chứng hoang tưởng,Khang Diệp dịch,Đơn,Tiểu thuyết - Ngôn tình,0.98,100000
4919946231,51,Năm tháng là đoá lưỡng sinh hoa,Nguyễn Thị Thuý Ngọc dịch,Đơn,Tiểu thuyết - Ngôn tình,0.96,85000
48212496,52,Thời gian tươi đẹp,Đinh Mặc,Đơn,Tiểu thuyết - Ngôn tình,0.94,70000
77580319,53,Nhật ký thất lạc,Douglas Carlton Abrams,Đơn,Tiểu thuyết - Ngôn tình,0.94,60000
4267452041,54,Em đừng mong chúng ta là người dưng,Duy Hoà Tống Tử,Đơn,Tiểu thuyết - Ngôn tình,0.5,55000
276032059,55,Gửi thời đơn thuần đẹp đẽ của chúng ta,Triệu Kiền Kiền,Bộ 2 tập,Tiểu thuyết - Ngôn tình,0.99,120000
127692587,56,Đánh thức miền yêu,Ức Cẩm ,Đơn,Tiểu thuyết - Ngôn tình,0.99,75000
262659947,57,Yêu em từ cái nhìn đầu tiên,Cố Mạn,Đơn,Tiểu thuyết - Ngôn tình,0.97,80000
19349142,58,Và thế là anh đợi em suốt một thâp kỷ,Cửu Nguyệt Hi,Đơn,Tiểu thuyết - Ngôn tình,0.94,75000
77774623,59,Anh giả vờ sẽ không yêu em,Vương Thanh Tâm dịch,Đơn,Tiểu thuyết ngôn tình,0.97,95000
202961439,60,Lực cơ học của tình yêu,Điền Phản,Bộ 2 tập,Tiểu thuyết - Ngôn tình,0.99,150000
7131304387,61,Hồ ly biết yêu,Diệp Lạc Vô Tâm,Đơn,Tiểu thuyết - Ngôn tình,0.97,75000
159814522,62,Hay là mình chung sống,Hồng Cửu ,Bộ 2 tập,Tiểu thuyết - Ngôn tình ,0.96,175000
9790903312,63,Không kịp nói yêu em,Phỉ Ngã Tư Tồn,Đơn,Tiểu thuyết - Ngôn tình,0.96,80000
1644600447,64,Bữa trưa tình yêu,Cố Mạn,Đơn,Tiểu thuyết- Ngôn tình,0.95,70000
5669045052,65,Ai hiểu được lòng em ,Lục Xu,Đơn,Tiểu thuyết - Ngôn tình,0.85,80000
8061166650,66,Xin được bên em thêm lần nữa,Atsushi Matsuhisa,Đơn,Tiểu thuyết - Ngôn tình,0.85,40000
3591186571,67,Tôi thích một cô gái nhưng chẳng dám ngỏ lời,Yuruka Morisaki,Bộ 2 tập,Tiểu thuyết - Ngôn tình,0.9,100000
755721396,68,Cá mực hầm mật,Mặc Bảo Phi Bảo,Đơn,Tiểu thuyết - Ngôn tình,0.7,80000
8595897542,69,Cô vợ hồ ly ngốc nghếch,Kính Trung Ảnh,Đơn,Tiểu thuyết - Ngôn tình,0.75,85000
5367213333,70,"Rất nhớ, rất nhớ anh",Mặc Bảo Phi Bảo,Đơn,Tiểu thuyết - Ngôn tình,0.6,60000
6639744869,71,Gặp ai giữa ngã rẽ tình yêu ,Diệp Tử,Đơn ,Tiểu Thuyết - Ngôn tình,0.65,75000
1229951353,72,Thất tịch không mưa,Lâu Vũ Tình,Đơn,Tiểu thuyết - Ngôn tình,0.9,70000
2581405597,73,Quái đàm ,Lafcadio Hearn,Đơn ,Kinh dị - Trinh thám,0.9,60000
184945916,74,Thiên thần và ác quỷ,Dan Brown ,Đơn ,Kinh dị - Trinh thám,0.95,120000
274101627,75,Vật chứa linh hồn ,Frances Hardinge,Đơn ,Kinh dị - Trinh thám,0.95,150000
253656605,76,Truyện ma ,M.r. James,Đơn ,Kinh dị - Trinh thám,0.95,100000
58627102,77,Sổ tay nhà thôi miên ,Cao Minh ,Đơn ,Kinh dị - Trinh thám,0.95,80000
274238666,78,Đứng trong bóng tối ,Shannon McKenna,Đơn ,Kinh dị - Trinh thám,0.85,80000
274719770,79,Bí ẩn phố âm dương ,Hà Mạc Bì ,Đơn ,Kinh dị - Trinh thám,0.97,110000
273961036,80,Tổng đài kể chuyện lúc 0H ,Emma Ha My ,Đơn ,Kinh dị - Trinh thám,0.99,125000
274692477,81,Vong hồn ,Trường Lê ,Đơn ,Kinh dị - Trinh thám,0.98,90000
73521483,82,Chơi ngải ,Vương Thịnh ,Đơn ,Kinh dị - Trinh thám,0.97,90000
77649545,83,Hồ sơ số 113,Émile Gaboriau,Đơn,Kinh dị - Trinh thám,0.85,65000
276065456,84,Tiếng thét câm lặng,Angela Marsons,Đơn ,Kinh dị - Trinh thám,0.8,70000
242447987,85,Kẻ ác cạnh bên ,Tiến sĩ Martha Stout ,Đơn ,Kinh dị - Trinh thám,0.9,60000
54748899,86,Muôn kiếp nhân sinh ,Nguyên Phong ,Bộ 2 tập ,Triết học - Chữa lành ,0.9,220000
191948777,87,Lén nhặt chuyện đời ,Mộc Trầm ,Đơn ,Triết học - Chữa lành ,1.0,60000
77243060,88,Bơ đi mà sống ,Minh Châu Books ,Đơn ,Triết học - Chữa lành ,0.7,35000
160584326,89,Bàn tay cũng là hoa ,Thích Nhất Hạnh ,Đơn ,Triết học - Chữa lành ,0.8,50000
277387250,90,Hạnh phúc cầm tay ,Thích Nhất Hạnh ,Đơn ,Triết học - Chữa lành ,0.9,55000
270798144,91,Soi mình trong thế giới muôn hình ,Tiên Alien ,Đơn ,Triết học - Chữa lành ,0.9,55000
251772561,92,Thả trôi phiền muộn ,Suối thông ,Đơn ,Triết học - Chữa lành ,0.9,70000
36399760,93,"Đừng cúi đầu mà khóc, hãy ngẩng đầu mà đi ",Lư Tư Hạo,Đơn ,Triết học - Chữa lành ,0.9,70000
252131254,94,Đợi đi vết thương nào rồi cũng lành ,Lư Tư Hạo,Đơn ,Triết học - Chữa lành ,0.9,70000
7420459552,95,"Mong bạn trải qua giông bão, quay về vẫn là thiếu niên ",Tằng Khải ,Đơn ,Triết học - Chữa lành ,0.85,50000
277875355,96,Nếu biết trăm năm là hữu hạn ,Phạm Lữ Ân ,Đơn ,Triết học - Chữa lành ,0.6,50000
167613836,97,Hạnh phúc tại tâm ,Osho,Đơn ,Triết học - Chữa lành ,0.9,60000
246772456,98,Những cuốn sách tôi yêu ,Osho,Đơn ,Triết học - Chữa lành ,0.9,80000
75307228,99,Yêu,Osho,Đơn ,Triết học - Chữa lành ,0.9,100000
186086824,100,Thân mật: cội nguồn của hạnh phúc ,Osho,Đơn ,Triết học - Chữa lành ,0.8,70000
53300996,101,Can đảm biến thách thức thành sức mạnh ,Osho,Đơn ,Triết học - Chữa lành ,0.75,70000
59478514,102,Phụ nữ ,Osho,Đơn ,Triết học - Chữa lành ,0.9,80000
59478514,103,Đàn ông ,Osho,Đơn ,Triết học - Chữa lành ,0.9,90000
274640001,104,Từ thuốc tới thiền ,Osho,Đơn ,Triết học - Chữa lành ,0.85,80000
165150427,105,Suy ngẫm: Đầu tiên vào buổi sáng,Osho,Đơn ,Triết học - Chữa lành ,0.9,110000
165150427,106,Suy ngẫm: Cuối cùng vào buổi tối ,Osho,Đơn ,Triết học - Chữa lành ,0.9,110000
220666221,107,Cứ bình yên rồi sẽ an yên ,Shunmyo Masuno,Đơn ,Triết học - Chữa lành ,0.9,65000
104611536,108,Ngẫm ,Việt An Khương ,Đơn ,Triết học - Chữa lành ,0.9,40000
190592937,109,Hãy khiến tương lai biết ơn vì hiện tại bạn đã cố gắng hết mình ,Bạch Tô ,Đơn ,Triết học - Chữa lành ,0.9,70000
276918163,110,Ngày hôm nay hãy sống thật với trái tim mình ,Yataro Matsuura,Đơn ,Triết học - Chữa lành ,0.9,70000
