product_id,summary
74021317,Cuốn sách khiến ta nhận ra vẻ đẹp thực sự đến từ những điều giản dị như bông hoa trắng của cây sau nhà và rằng cuộc đời thật khốn khổ nếu thiếu đi lòng yêu thương và niềm trắc ẩn.
74021317,Cuốn sách khiến ta nhận ra vẻ đẹp thực sự đến từ những điều giản dị như bông hoa trắng của cây sau nhà và rằng cuộc đời thật khốn khổ nếu thiếu đi lòng yêu thương và niềm trắc ẩn.
184466860,"Hành Tinh Của Một Kẻ Nghĩ Nhiều 
 “ Đó là mùa hè năm 2020, mùa hè của COVID-19 và một ngàn vạn khủng hoảng tuổi đôi mươi. Đó là mùa hè mình bắt chuyến bay sớm nhất có thể vào ngày 20 tháng 3 để chạy khỏi nước Anh đang bùng dịch, bị kẹt lại sân bay Bangkok trong 24 giờ đồng hồ vì chuyến bay quá cảnh về Sài Gòn bị huỷ  
 Đó là mỗi đêm mùa hè nằm trên giường stress chuyện deadline luận văn, stress chuyện thất nghiệp không kiếm ra tiền, stress chuyện bỏ lỡ cơ hội thực tập giúp ích cho sự nghiệp của mình, stress chuyện học hành dở dang - không biết bao giờ mới có thể quay lại Anh và hoàn thành tấm bằng đại học, stress chuyện tồn tại một cách mơ hồ, không biết mình là ai .” 
 Hành tinh của một kẻ nghĩ nhiều  là hành trình khám phá thế giới nội tâm của một người trẻ. Đó là một hành tinh đầy hỗn loạn của những suy nghĩ trăn trở, những dằn vặt, những cuộc chiến nội tâm, những cảm xúc vừa phức tạp cũng vừa rất đỗi con người. Một thế giới quen thuộc với tất cả chúng ta.  
 Chứa đựng những lời chia sẻ và kiến thức từ podcast của  Amateur Psychology - Tay mơ học đời bằng Tâm lý học , tác giả sẽ dẫn lối và đưa bạn tới từng ngóc ngách thầm kín nhất của hành tinh ấy dưới một góc nhìn chuyên sâu hơn.  
 Và nếu bạn cũng là một kẻ nghĩ nhiều, chào mừng bạn đến với hành tinh này. 
 “ Sự cô đơn không nằm ở việc không có bạn bè hay người thân mà ngay cả trong sự sum vầy ta vẫn cảm thấy không có ai có thể hiểu mình tường tận từ sâu tâm hồn. Là sự cô đơn như thể chỉ có một mình mình trên một hành tinh đơn độc trong đầu, một hành tinh không bao giờ có khách viếng thăm”. 
 
 Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
73787185,"Giới thiệu: Cuốn sách giải thích mọi thứ về địa chính trị thế giới! Trong cuốn sách bán chạy nhất của Thời báo New York này, một nhà báo từng đoạt giải thưởng sử dụng bản đồ của các khu vực quan trọng để giải thích các chiến lược địa chính trị của các cường quốc trên thế giới— ""những người hâm mộ địa lý, lịch sử và chính trị (và bản đồ) sẽ bị lôi cuốn"" (Fort Worth Star-Telegram). Bản đồ giữ một bí ẩn với chúng ta. Dù là giấy da cổ, nhàu nát hay do Google tạo ra, bản đồ cho chúng ta biết những điều chúng ta muốn biết, không chỉ về vị trí hiện tại hoặc nơi chúng ta sẽ đến mà còn về thế giới nói chung. Chưa hết, khi nói đến địa chính trị, phần lớn những gì chúng ta được nghe nói là do các nhà phân tích và các chuyên gia khác tạo ra, những người đã bỏ qua việc tham khảo bản đồ của địa điểm được đề cập. Tất cả các nhà lãnh đạo của các quốc gia đều bị hạn chế bởi địa lý. ""Một trong những cuốn sách hay nhất về địa chính trị"" (The Evening Standard), đã cập nhật để bao gồm những phát triển địa chính trị, nhà báo Tim Marshall đã xem xét Nga, Trung Quốc, Mỹ, Mỹ Latinh, Trung Đông, Châu Phi, Châu Âu, Nhật Bản, Hàn Quốc, và Bắc Cực — thời tiết, biển, núi, sông, sa mạc và biên giới — để cung cấp bối cảnh thường bị thiếu trong phóng sự chính trị của chúng ta: đặc điểm địa lý của các quốc gia này ảnh hưởng như thế nào đến điểm mạnh và điểm dễ bị tổn thương của họ và các quyết định của các nhà lãnh đạo của họ. Đưa ra ""một cách nhìn mới về bản đồ"" (The New York Times Book Review), Marshall giải thích các chiến lược địa chính trị phức tạp hình thành thế giới. Tại sao Putin lại bị Crimea (Ukraina) ám ảnh? Tại sao Hoa Kỳ lại trở thành một siêu cường toàn cầu? Tại sao cơ sở quyền lực của Trung Quốc tiếp tục mở rộng? Tại sao Tây Tạng lại mất quyền tự chủ? Tại sao châu Âu sẽ không bao giờ thống nhất? Các câu trả lời là địa lý. ""Trong một thế giới ngày càng phức tạp, hỗn loạn và liên kết với nhau, Những tù nhân của địa lý là một cuốn sách ngắn gọn và hữu ích về địa chính trị” (Newsweek) và là một hướng dẫn quan trọng về một trong những yếu tố quyết định chính trong các vấn đề thế giới. Đánh giá: ﻿“Khi chúng ta đang vươn tới những vì sao, chính bởi những thách thức đặt ra phía trước mà chúng ta có lẽ sẽ phải chung tay để ứng phó: du hành vào vũ trụ không phải với tư cách người Nga, người Trung Quốc hay người Mỹ, mà là những đại diện của nhân loại. Nhưng cho đến nay, mặc dù đã thoát khỏi sự kìm hãm của trọng lực, chúng ta vẫn đang bị giam giữ trong tâm trí của chính mình, bị giới hạn bởi sự nghi ngờ của mình về ‘kẻ khác’, và do đó bởi cuộc cạnh tranh chính yếu về tài nguyên. Phía trước chúng ta còn cả một chặng đường dài.” Người Nga vẫn sẽ lo âu dõi mắt về phía tây, nơi có dải đất vẫn còn là bình nguyên, dễ bị xâm nhập; Ấn Độ và Trung Quốc vẫn sẽ bị cách ngăn bởi dãy Himalaya sừng sững, và địa lý sẽ xác định bản chất của những cuộc xung đột giữa hai nước trong tương lai, bất chấp sự phát triển của công nghệ và quân sự; “Đại gia đình châu Âu” đói khát năng lượng, bị phụ thuộc vào những đường ống dẫn dầu từ Nga, và do đó họ không thực sự có nhiều lựa chọn trên bàn đàm phán; sự suy yếu của Hoa Kỳ trong vị thế một siêu cường số một dường như đã bị thổi phồng quá mức, nếu xét tới những lợi thế địa lý mà nước này đã dày công gây dựng… Và còn rất nhiều dẫn chứng cho thấy vai trò then chốt của các nhân tố địa lý trong bối cảnh chính trị hiện đại. Nhân loại đang trên đường hiện thực hóa giấc mơ vươn vào không gian. Nhưng Tim Marshall vẫn xác quyết rằng: “Các nhân tố địa lý vốn đã góp phần xác định lịch sử đa phần sẽ tiếp tục xác định tương lai của chúng ta”, và rằng: “Địa lý vẫn luôn luôn là một loại nhà tù định nghĩa một quốc gia là gì, hoặc có thể là gì, và là một nhà tù mà các nhà lãnh đạo thế giới thường phải nỗ lực để thoát ra”. Hay nói cách khác, theo luận điểm của Tim Marshall, thì một thế kỷ nữa kể từ bây giờ, nhân loại vẫn sẽ là “những tù nhân của địa lý”. “Một suy ngẫm cốt lõi và chi tiết về những động lực địa chính trị tồn tại trên toàn cầu.” – Tiến sĩ Sajjan M. Gohel TÁC GIẢ: Tim Marshall là ký giả người Anh với hơn 25 năm kinh nghiệm về tin tức đối ngoại. Ngoài vai trò ký giả và biên tập viên, Marshall còn là nhà bình luận khách mời về các sự kiện thế giới cho BBC, Sky News. Prisoners of Geography là một trong năm cuốn sách của ông đều nằm trong danh sách bán chạy của The New York Times, và được xuất bản ra nhiều thứ tiếng. “Nói nhanh cho vuông, đây là một trong những cuốn sách hay nhất về địa chính trị bạn có thể tưởng tượng: đọc nó cũng giống như một nguồn ánh sáng rọi vào tâm trí bạn… Marshall có cái đầu mạch lạc, sáng suốt và sở hữu một năng lực gần như thần bí là có thể làm cho bức tranh toàn cảnh trở nên dễ hiểu và mạch lạc… Cuốn sách này, bao quát một chủ đề phức tạp như vậy, thật kinh ngạc là tôi đã không thể buông cuốn sách cho tới khi đọc xong… Tôi không thể tìm ra một cuốn sách nào khác có thể giải thích tình hình thế giới hay hơn.” – Nicholas Lezard, Evening Standard Mã hàng8935235227873Tên Nhà Cung CấpNhã NamTác giảTim MarshallNgười DịchPhan Linh LanNXBNXB Hội Nhà VănNăm XB2020Trọng lượng (gr)450Kích Thước Bao Bì20.5 x 14 cmSố trang432Hình thứcBìa MềmSản phẩm hiển thị trongNhã Nam Sản phẩm bán chạy nhấtTop 100 sản phẩm Địa Lý bán chạy của thángGiá sản phẩm trên Fahasa.com đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như Phụ phí đóng gói, phí vận chuyển, phụ phí hàng cồng kềnh,... Chính sách khuyến mãi trên Fahasa.com không áp dụng cho Hệ thống Nhà sách Fahasa trên toàn quốc “Khi chúng ta đang vươn tới những vì sao, chính bởi những thách thức đặt ra phía trước mà chúng ta có lẽ sẽ phải chung tay để ứng phó: du hành vào vũ trụ không phải với tư cách người Nga, người Trung Quốc hay người Mỹ, mà là những đại diện của nhân loại. Nhưng cho đến nay, mặc dù đã thoát khỏi sự kìm hãm của trọng lực, chúng ta vẫn đang bị giam giữ trong tâm trí của chính mình, bị giới hạn bởi sự nghi ngờ của mình về ‘kẻ khác’, và do đó bởi cuộc cạnh tranh chính yếu về tài nguyên. Phía trước chúng ta còn cả một chặng đường dài.” Người Nga vẫn sẽ lo âu dõi mắt về phía tây, nơi có dải đất vẫn còn là bình nguyên, dễ bị xâm nhập; Ấn Độ và Trung Quốc vẫn sẽ bị cách ngăn bởi dãy Himalaya sừng sững, và địa lý sẽ xác định bản chất của những cuộc xung đột giữa hai nước trong tương lai, bất chấp sự phát triển của công nghệ và quân sự; “Đại gia đình châu Âu” đói khát năng lượng, bị phụ thuộc vào những đường ống dẫn dầu từ Nga, và do đó họ không thực sự có nhiều lựa chọn trên bàn đàm phán; sự suy yếu của Hoa Kỳ trong vị thế một siêu cường số một dường như đã bị thổi phồng quá mức, nếu xét tới những lợi thế địa lý mà nước này đã dày công gây dựng… Và còn rất nhiều dẫn chứng cho thấy vai trò then chốt của các nhân tố địa lý trong bối cảnh chính trị hiện đại. Nhân loại đang trên đường hiện thực hóa giấc mơ vươn vào không gian. Nhưng Tim Marshall vẫn xác quyết rằng: “Các nhân tố địa lý vốn đã góp phần xác định lịch sử đa phần sẽ tiếp tục xác định tương lai của chúng ta”, và rằng: “Địa lý vẫn luôn luôn là một loại nhà tù định nghĩa một quốc gia là gì, hoặc có thể là gì, và là một nhà tù mà các nhà lãnh đạo thế giới thường phải nỗ lực để thoát ra”. Hay nói cách khác, theo luận điểm của Tim Marshall, thì một thế kỷ nữa kể từ bây giờ, nhân loại vẫn sẽ là “những tù nhân của địa lý”. “Một suy ngẫm cốt lõi và chi tiết về những động lực địa chính trị tồn tại trên toàn cầu.” – Tiến sĩ Sajjan M. Gohel"
52789367,"Tiểu thuyết Nhà giả kim của Paulo Coelho như một câu chuyện cổ tích giản dị, nhân ái, giàu chất thơ, thấm đẫm những minh triết huyền bí của phương Đông. Trong lần xuất bản đầu tiên tại Brazil vào năm 1988, sách chỉ bán được 900 bản. Nhưng, với số phận đặc biệt của cuốn sách dành cho toàn nhân loại, vượt ra ngoài biên giới quốc gia, Nhà giả kim đã làm rung động hàng triệu tâm hồn, trở thành một trong những cuốn sách bán chạy nhất mọi thời đại, và có thể làm thay đổi cuộc đời người đọc."
147920903,"Một Thoáng Ta Rực Rỡ Ở Nhân Gian. 
 “Chúng ta bắt đầu bằng tình yêu, rồi đến cái chết. Nhưng có lẽ, đôi khi, ta cũng bắt đầu bằng sự im lặng…” 
 Một thoáng ta rực rỡ ở nhân gian viết dưới dạng một lá thư của nhân vật chính, Chó Con, viết cho người mẹ không biết đọc của mình, người phụ nữ vừa là nạn nhân của chiến tranh, vừa là người mang trong mình những cơn giận dữ không lời. Lá thư là hành trình cởi mở nội tâm, từ những ký ức tuổi thơ đến những nỗi đau âm ỉ do bạo lực gia đình, bản dạng giới và tình yêu đồng tính đầu đời. Nhưng liệu một bức thư không bao giờ đến tay người nhận có thể thực sự giải thoát được người viết? 
 Cuốn sách thường được đọc như một Bildungsroman (tiểu thuyết trưởng thành), nhưng cũng có nhiều người coi đây là một Künstlerroman (tiểu thuyết kể về quá trình một người nghệ sĩ trở thành nghệ sĩ). 
 Điều Gì Chờ Đón Người Đọc? 
 
 
 Một bức tranh nội tâm sống động, đẫm chất thơ, nơi ký ức và hiện tại va vào nhau thành âm vang nghẹn ngào. 
 
 
 Một câu chuyện khiến bạn không thể đọc vội, buộc phải dừng lại, hít thở và thấm từng dòng chữ. 
 
 
 Những lát cắt tinh tế về mối quan hệ mẹ con, bản sắc giới tính và những tổn thương không tên mà người nhập cư phải mang. 
 
 
 Một bản nhạc buồn đẹp đến ám ảnh về tuổi trẻ, về những điều đã mất và cả những điều chưa kịp thành hình. 
 
 
 Vài Nét Về Tác Giả & Phong Cách 
 Ocean Vuong (Vương Quốc Vinh)  sinh năm 1988 tại TP. Hồ Chí Minh và lớn lên tại Mỹ. Là nhà thơ đoạt nhiều giải thưởng lớn như Whiting Award, T.S. Eliot Prize, MacArthur Fellowship, ông được biết đến với khả năng kết hợp thi ca và văn xuôi một cách uyển chuyển và đầy cảm xúc. Với  Một thoáng ta rực rỡ ở nhân gian , Vuong tạo nên một giọng kể vừa mềm mại vừa dữ dội, nơi cái đẹp và nỗi đau song hành trong từng con chữ. Hiện nay, Ocean Vuong tham gia giảng dạy chuyên ngành sáng tác ở trình độ Thạc sĩ nghệ thuật (MFA) ở trường Đại học Massachusetts Amherst. 
 Cuốn sách này dành cho: 
 
 
 Những ai từng là đứa trẻ sống trong im lặng, giữa những khoảng trống của chiến tranh và di sản gia đình. 
 
 
 Độc giả yêu thích văn chương giàu chất thơ, giàu hình ảnh và chứa đựng chiều sâu cảm xúc. 
 
 
 Những tâm hồn nhạy cảm đi tìm sự đồng cảm trong câu chuyện về bản dạng, tình yêu và quá khứ. 
 
 
 Người quan tâm đến văn học LGBTQ+ và những câu chuyện về người nhập cư. 
 
 
 Giải thưởng 
 
 
 Nằm trong danh sách  Best Book of the Year  của The New York Times, TIME, The Washington Post. 
 
 
 Lọt vào  longlist  National Book Award 2019. 
 
 
 Giành giải American Book Award, Ferro-Grumley Award, Mark Twain American Voice, Brooklyn Public Library Prize và New England Book Award 2019. 
 
 
 Lật trang sách và để câu chữ dẫn dắt bạn qua nỗi đau, sự mạnh mẽ, và vẻ đẹp ngắn ngủi nhưng quyến rũ của cuộc đời.  
 
 “Vuong thực sự có thiên tài quan sát.”  The New York Times 
 “Với một xuất thân bên rìa hết sức xa lạ, Vuong đã viết nên một tác phẩm trữ tình về quá trình tự khám phá chính mình, vừa thành thật đến choáng váng, vừa phổ quát trong từng câu chữ.”  The Washington Post 
 “Bằng sự chính xác của một nhà thơ, Ocean Vuong xem xét liệu biến kinh nghiệm của chúng ta thành từ ngữ có thể chữa lành những vết thương trải hàng thế hệ hay không, và liệu tiếng nói của ta có thể nào thực sự được nghe bởi những người ta yêu thương nhất.”  Celeste Ng. 
 Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
3304875,"Điều Kỳ Diệu Của Tiệm Tạp Hóa. 
 “Sau nhiều năm đọc các thư nhờ tư vấn, bố đã hiểu ra một điều. Đó là đa số các trường hợp người nhờ tư vấn đã có sẵn câu trả lời. Họ nhờ tư vấn chẳng qua chỉ muốn xác nhận điều đó là đúng mà thôi.” 
 Một đêm nọ, ba thanh niên trẻ  Atsuya ,  Shota  và  Kouhei  trốn chạy sau một phi vụ trộm vặt đã ẩn náu tại tiệm tạp hoá Namiya. Tiệm đã đóng cửa từ nhiều năm trước nhưng lại bỗng nhiên nhận được những lá thư cầu cứu từ năm 1980… 
 Tiệm tạp hoá Namiya từng là nơi ông  Yuji Namiya  chuyên tư vấn cho người lạ qua thư. Nhưng 32 năm sau, chính ba tên trộm đã trở thành người trả lời thư, vô tình khơi dậy một chuỗi kỳ tích kết nối quá khứ và hiện tại, giữa những con người tưởng chừng không có mối liên hệ. 
 Cuộc đời mỗi người trong các lá thư ấy đặt ra những câu hỏi chưa lời giải: 
 
 Liệu có khi nào bạn nhận ra rằng mọi câu trả lời bạn cần luôn nằm trong chính trái tim mình? 
 Nếu thư gửi đi từ ngày xưa vẫn có thể hồi âm ở hôm nay, liệu thời gian chỉ là khung gương cho những mối liên hệ sâu xa? 
 Giá trị của một lời khuyên chân thành là gì, khi nó có thể lần nữa chạm đến con người qua bao nhiêu năm tháng? 
 
 Điều Gì Chờ Đón Người Đọc? 
 
 
 Một chuỗi câu chuyện nhỏ gắn kết qua những lá thư, tạo nên một “vòng tròn phép màu” giữa quá khứ và hiện tại. 
 
 
 Cảm giác ấm áp và hy vọng lan tỏa, giữa hình ảnh tiệm tạp hoá cũ kỹ và những lá thư chạm đến lòng người. 
 
 
 Chủ đề thanh xuân, lựa chọn, sự cô đơn và giá trị của sự quan tâm chân thành. 
 
 
 Kỹ thuật kể chuyện phi tuyến tính kết hợp nhiều nhân vật tạo nên trải nghiệm đọc say mê và đầy suy ngẫm. 
 
 
 Vài Nét Về Tác Giả & Phong Cách: 
 Higashino Keigo  là bậc thầy trinh thám xã hội Nhật Bản, từng đoạt nhiều giải thưởng như Naoki và Mystery Writers of Japan. Ở  Điều kỳ diệu của tiệm tạp hoá Namiya , ông lùi lại sau ánh đèn trinh thám để hồi sinh một câu chuyện mang đậm chất nhân văn, kỳ ảo nhẹ nhàng nhưng sâu sắc, có thể khiến độc giả bật khóc trong im lặng. 
 Cuốn sách này dành tặng... 
 
 
 Những ai tin rằng phép màu tồn tại ở những điều giản dị và giản đơn. 
 
 
 Người cần một phép bổ sung niềm tin về sức mạnh của sự lắng nghe và chia sẻ. 
 
 
 Độc giả yêu thích văn phong văn học Nhật Bản nhẹ nhàng nhưng đầy chiều sâu. 
 
 
 Bất cứ ai từng cảm thấy lạc lối và mong tìm được một lá thư ấm áp trong đêm. 
 
 
 Giải thưởng & Chuyển thể: 
 
 Đã bán được hơn 1 triệu bản tại Nhật Bản và 1,6 triệu bản tại Trung Quốc 
 Chuyển thể thành phim điện ảnh tại Trung Quốc (2013, 2016) và kịch sân khấu tại Nhật Bản 
 
 Nếu bạn đang ở giữa những ngã rẽ của cuộc đời, hãy đến với  “Điều Kỳ Diệu Của Tiệm Tạp Hóa Namiya”.  Nơi có những lá thư bí ẩn, những trái tim vụn vỡ và phép màu được viết bởi chính bạn, qua những lựa chọn ngay hôm nay. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
167940010,"Trong cuốn “Thao túng tâm lý”, tác giả Shannon Thomas giới thiệu đến độc giả những hiểu biết liên quan đến thao túng tâm lý và lạm dụng tiềm ẩn. “Thao túng tâm lý” là một dạng của lạm dụng tâm lý. Cũng giống như lạm dụng tâm lý, thao túng tâm lý có thể xuất hiện ở bất kỳ môi trường nào, từ bất cứ đối tượng độc hại nào. Đó có thể là bố mẹ ruột, anh chị em ruột, người yêu, vợ hoặc chồng, sếp hay đồng nghiệp… của bạn. Với tính chất bí hiểm, âm thầm gây hại, thao túng, lạm dụng tâm lý làm tổn thương cảm xúc, lòng tự trọng, cuộc sống của mỗi nạn nhân. Những người từng bị lạm dụng tâm lý thường không thể miêu tả rõ ràng điều gì đã xảy ra với mình. Trong nhiều trường hợp, nạn nhân bị thao túng đến mức tự hỏi có phải họ là người có lỗi, thậm chí họ có phải là người độc hại trong mối quan hệ đó. Hành vi của (những) kẻ lạm dụng giống như một trò chơi bí ẩn, tệ hại và lặp đi lặp lại, do một cá nhân hoặc một nhóm người thực hiện với nạn nhân. Những hành vi này được ngụy trang tài tình đến mức hành vi độc ác của họ diễn ra thường xuyên, nhưng không bị phát hiện. Shannon Thomas giới thiệu những kiến thức cơ bản về đặc điểm, các dạng của lạm dụng tâm lý nói chung, thao túng tâm lý nói riêng, và cung cấp cho người đọc hành trình chữa lành gồm 6 giai đoạn: - Giai đoạn 1: Tuyệt vọng - Giai đoạn 2: Nhận diện - Giai đoạn 3: Thức tỉnh - Giai đoạn 4: Những ranh giới - Giai đoạn 5: Phục hồi - Giai đoạn 6: Duy trì Bằng những kiến thức chuyên sâu và sự thấu hiểu, tác giả sẽ giúp bạn từng bước vượt qua những rắc rối của thao túng tâm lý, lạm dụng tiểm ẩn để có cuộc sống ý nghĩa và lành mạnh hơn."
117238177,"Cuộc đời Nora Seed tràn ngập khổ sở và nuối tiếc. Cô có nhiều khả năng nhưng lại ít thành tựu, và luôn cảm thấy mình đã làm mọi người xung quanh mình thất vọng. Thế rồi, vào lúc chuông điểm nửa đêm trong ngày cuối cùng còn trên thế gian, Nora thấy mình xuất hiện ở Thư viện nửa đêm - một nơi “nằm giữa cõi sống và cõi chết”, với những dãy kệ trải dài bất tận và hằng hà sa số cuốn sách giúp Nora có thể sống một cuộc đời khác nếu cô đã lựa chọn cho mình những lối đi khác. Với sự giúp đỡ của một người quen cũ, Nora nắm trong tay cơ hội sửa chữa mọi sai lầm và xóa bỏ mọi hối tiếc để tìm kiếm một cuộc sống hoàn hảo cho riêng mình. Vậy nhưng, với vô vàn chọn lựa như vậy, đâu mới là cách sống tốt nhất, và ta có nhờ thế mà hạnh phúc hơn chăng?"
147920903,"Một Thoáng Ta Rực Rỡ Ở Nhân Gian. 
 “Chúng ta bắt đầu bằng tình yêu, rồi đến cái chết. Nhưng có lẽ, đôi khi, ta cũng bắt đầu bằng sự im lặng…” 
 Một thoáng ta rực rỡ ở nhân gian viết dưới dạng một lá thư của nhân vật chính, Chó Con, viết cho người mẹ không biết đọc của mình, người phụ nữ vừa là nạn nhân của chiến tranh, vừa là người mang trong mình những cơn giận dữ không lời. Lá thư là hành trình cởi mở nội tâm, từ những ký ức tuổi thơ đến những nỗi đau âm ỉ do bạo lực gia đình, bản dạng giới và tình yêu đồng tính đầu đời. Nhưng liệu một bức thư không bao giờ đến tay người nhận có thể thực sự giải thoát được người viết? 
 Cuốn sách thường được đọc như một Bildungsroman (tiểu thuyết trưởng thành), nhưng cũng có nhiều người coi đây là một Künstlerroman (tiểu thuyết kể về quá trình một người nghệ sĩ trở thành nghệ sĩ). 
 Điều Gì Chờ Đón Người Đọc? 
 
 
 Một bức tranh nội tâm sống động, đẫm chất thơ, nơi ký ức và hiện tại va vào nhau thành âm vang nghẹn ngào. 
 
 
 Một câu chuyện khiến bạn không thể đọc vội, buộc phải dừng lại, hít thở và thấm từng dòng chữ. 
 
 
 Những lát cắt tinh tế về mối quan hệ mẹ con, bản sắc giới tính và những tổn thương không tên mà người nhập cư phải mang. 
 
 
 Một bản nhạc buồn đẹp đến ám ảnh về tuổi trẻ, về những điều đã mất và cả những điều chưa kịp thành hình. 
 
 
 Vài Nét Về Tác Giả & Phong Cách 
 Ocean Vuong (Vương Quốc Vinh)  sinh năm 1988 tại TP. Hồ Chí Minh và lớn lên tại Mỹ. Là nhà thơ đoạt nhiều giải thưởng lớn như Whiting Award, T.S. Eliot Prize, MacArthur Fellowship, ông được biết đến với khả năng kết hợp thi ca và văn xuôi một cách uyển chuyển và đầy cảm xúc. Với  Một thoáng ta rực rỡ ở nhân gian , Vuong tạo nên một giọng kể vừa mềm mại vừa dữ dội, nơi cái đẹp và nỗi đau song hành trong từng con chữ. Hiện nay, Ocean Vuong tham gia giảng dạy chuyên ngành sáng tác ở trình độ Thạc sĩ nghệ thuật (MFA) ở trường Đại học Massachusetts Amherst. 
 Cuốn sách này dành cho: 
 
 
 Những ai từng là đứa trẻ sống trong im lặng, giữa những khoảng trống của chiến tranh và di sản gia đình. 
 
 
 Độc giả yêu thích văn chương giàu chất thơ, giàu hình ảnh và chứa đựng chiều sâu cảm xúc. 
 
 
 Những tâm hồn nhạy cảm đi tìm sự đồng cảm trong câu chuyện về bản dạng, tình yêu và quá khứ. 
 
 
 Người quan tâm đến văn học LGBTQ+ và những câu chuyện về người nhập cư. 
 
 
 Giải thưởng 
 
 
 Nằm trong danh sách  Best Book of the Year  của The New York Times, TIME, The Washington Post. 
 
 
 Lọt vào  longlist  National Book Award 2019. 
 
 
 Giành giải American Book Award, Ferro-Grumley Award, Mark Twain American Voice, Brooklyn Public Library Prize và New England Book Award 2019. 
 
 
 Lật trang sách và để câu chữ dẫn dắt bạn qua nỗi đau, sự mạnh mẽ, và vẻ đẹp ngắn ngủi nhưng quyến rũ của cuộc đời.  
 
 “Vuong thực sự có thiên tài quan sát.”  The New York Times 
 “Với một xuất thân bên rìa hết sức xa lạ, Vuong đã viết nên một tác phẩm trữ tình về quá trình tự khám phá chính mình, vừa thành thật đến choáng váng, vừa phổ quát trong từng câu chữ.”  The Washington Post 
 “Bằng sự chính xác của một nhà thơ, Ocean Vuong xem xét liệu biến kinh nghiệm của chúng ta thành từ ngữ có thể chữa lành những vết thương trải hàng thế hệ hay không, và liệu tiếng nói của ta có thể nào thực sự được nghe bởi những người ta yêu thương nhất.”  Celeste Ng. 
 Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
