product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,summary,group_scores,primary_group,group_score
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,64800,53075.0,Tiểu Thuyết,11481,5.0,244,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg,"Câu chuyện cảm động về cậu bé nghèo Zezé với tâm hồn trong sáng, đầy tưởng tượng, khám phá tình yêu thương và mất mát trong tuổi thơ khốn khó.","{'Chinh phục': 0.18334610370871604, 'Kiến tạo': 0.1501970286487616, 'Tri thức': 0.11885156180032441, 'Tự do': 0.2268628163155643, 'Kết nối': 0.14288308638412625, 'Đa động lực': 0.17785940314250745}",Đa động lực,0.17785940314250745
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,64800,53075.0,Tiểu Thuyết,11481,5.0,244,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg,"Câu chuyện cảm động về cậu bé nghèo Zezé với tâm hồn trong sáng, đầy tưởng tượng, khám phá tình yêu thương và mất mát trong tuổi thơ khốn khó.","{'Chinh phục': 0.18334610370871604, 'Kiến tạo': 0.1501970286487616, 'Tri thức': 0.11885156180032441, 'Tự do': 0.2268628163155643, 'Kết nối': 0.14288308638412625, 'Đa động lực': 0.17785940314250745}",Đa động lực,0.17785940314250745
184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,86000,59900,7929.0,Sách tư duy - Kỹ năng sống,780,4.8,184,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/d7/99/24/17bff8d26027846b2d7478ad4ba83fea.jpg,"Những chia sẻ chân thành của một người sống nội tâm, luôn suy nghĩ nhiều về bản thân, xã hội và những mối quan hệ xung quanh. Sách mang hơi hướng chữa lành và thấu hiểu bản thân.","{'Chinh phục': 0.1590947762463842, 'Kiến tạo': 0.22407265611706656, 'Tri thức': 0.10273098519652885, 'Tự do': 0.2114173898247405, 'Kết nối': 0.1503743406499915, 'Đa động lực': 0.1523098519652884}",Đa động lực,0.1523098519652884
73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,210000,126000,17896.0,Lĩnh vực khác,3623,4.8,430,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,"Cuốn sách giải thích cách địa lý ảnh hưởng đến chính trị, văn hóa và sự phát triển của các quốc gia trên thế giới qua góc nhìn địa chính trị.","{'Chinh phục': 0.16791700961960324, 'Kiến tạo': 0.15647718743541306, 'Tri thức': 0.12589243303806144, 'Tự do': 0.15508120279487003, 'Kết nối': 0.24861217371125235, 'Đa động lực': 0.14601999340079988}",Đa động lực,0.14601999340079988
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,79000,47400,24668.0,Tác phẩm kinh điển,5131,5.0,228,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/45/3b/fc/aa81d0a534b45706ae1eee1e344e80d9.jpg,"Hành trình chàng chăn cừu Santiago đi tìm kho báu và khám phá triết lý về ước mơ, số phận và niềm tin – biểu tượng kinh điển của văn học truyền cảm hứng.","{'Chinh phục': 0.19513261111985933, 'Kiến tạo': 0.22765471297316928, 'Tri thức': 0.08593290548987217, 'Tự do': 0.22945435497295716, 'Kết nối': 0.1309239554845697, 'Đa động lực': 0.1309014599595723}",Đa động lực,0.1309014599595723
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,,135000,81000,10000.0,Tiểu Thuyết,1636,4.8,304,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg,"Bức thư đầy cảm xúc gửi cho mẹ, kể về tuổi thơ, thân phận và bản sắc của người Việt tại Mỹ. Một tác phẩm đầy chất thơ, vừa hiện thực vừa trữ tình.","{'Chinh phục': 0.26777364524810643, 'Kiến tạo': 0.186891869703957, 'Tri thức': 0.05821631770190105, 'Tự do': 0.15166225255387955, 'Kết nối': 0.16890227796774723, 'Đa động lực': 0.1665536368244087}",Đa động lực,0.1665536368244087
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,63000,25272.0,Truyện ngắn - Tản văn - Tạp Văn,3791,4.8,358,,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg,"Ba thanh niên viết thư gửi đến một tiệm tạp hóa bí ẩn, nơi quá khứ và hiện tại giao nhau, truyền tải thông điệp về lòng nhân ái và ý nghĩa cuộc sống.","{'Chinh phục': 0.17492136489550833, '74021317 tạo': 0.1940195975536452, 'Tri thức': 0.08170417934846562, 'Tự do': 0.22641185394384067, 'Kết nối': 0.1610707731842367, 'Đa động lực': 0.1618722310743034}",Đa động lực,0.1618722310743034
167940010,Thao Túng Tâm Lý,Shannon Thomas,169000,103000,8152.0,Sách tư duy - Kỹ năng sống,785,4.8,328,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/90/49/97/ec88ab408c1997378344486c94dbac40.jpg,Cuốn sách giúp nhận diện hành vi thao túng tâm lý trong các mối quan hệ và hướng dẫn cách thoát khỏi chúng để lấy lại sự tự do tinh thần.,"{'Chinh phục': 0.1822474423228265, 'Kiến tạo': 0.19322370873545128, 'Tri thức': 0.09878639771362299, 'Tự do': 0.19322370873545128, 'Kết nối': 0.21496914219442492, 'Đa động lực': 0.11754960029822308}",Đa động lực,0.11754960029822308
117238177,Thư Viện Nửa Đêm,Matt Haig,150000,90000,7166.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1544,4.8,424,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8e/32/3d/e4487c4c7e335bbda4f06dd54d8e35b8.jpg,Câu chuyện về Nora – người được sống lại vô số phiên bản cuộc đời trong “Thư viện Nửa Đêm” để khám phá ý nghĩa của sự hối tiếc và lựa chọn.,"{'Chinh phục': 0.17017943997142151, 'Kiến tạo': 0.222458849715589, 'Tri thức': 0.10618009947514495, 'Tự do': 0.1964908906048199, 'Kết nối': 0.16504080679288835, 'Đa động lực': 0.1396499134401363}",Đa động lực,0.1396499134401363
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,,135000,81000,10000.0,Tiểu Thuyết,1636,4.8,304,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg,"Bức thư đầy cảm xúc gửi cho mẹ, kể về tuổi thơ, thân phận và bản sắc của người Việt tại Mỹ. Một tác phẩm đầy chất thơ, vừa hiện thực vừa trữ tình.","{'Chinh phục': 0.26777364524810643, 'Kiến tạo': 0.186891869703957, 'Tri thức': 0.05821631770190105, 'Tự do': 0.15166225255387955, 'Kết nối': 0.16890227796774723, 'Đa động lực': 0.1665536368244087}",Đa động lực,0.1665536368244087
