"product_id","summary"
"145300494","THE MASTERY OF SELF   
 Hành trình thấu hiểu bản thân và tìm thấy tự do 
 The mastery of self - Một sự ra đời đầy đặc biệt 
 Vào những năm 900-1150 sau Công Nguyên, có một cộng đồng người tập hợp lại với nhau và hình thành một nền văn minh mới mà hiện nay nằm ở khu vực Trung Nam của Mexico. Họ tự gọi mình là người Toltec, trong đó Toltec có nghĩa là “nghệ sĩ”. Họ không phải là nghệ sĩ theo nghĩa thông thường (mặc dù vài người trong số họ là họa sĩ và nhà điêu khắc), mà họ tự xem mình là nghệ sĩ của cuộc đời, và thế giới này chính là tấm toan để họ vẽ nên tuyệt tác. Di sản của người Toltec và những lời dạy của họ đã được truyền lại từ thế hệ này sang thế hệ khác một cách bí mật vì bối cảnh chính trị thời bấy giờ. Don Miguel Ruiz Jr. là vị thầy xuất hiện gần đây nhất thuộc dòng dõi Eagle Knight của người Toltec. 
 Và như bạn đã thấy, cuốn sách này đã truyền tải chính xác thông điệp Hiểu Chính Mình, thậm chí còn hơn thế nữa. Miguel đã diễn giải tri thức cổ xưa theo ngôn ngữ hiện đại để chúng ta có thể vận dụng chân lý muôn thuở của việc thấu hiểu bản thân vào cuộc sống hằng ngày. 
 The mastery of self - Hành trình thấu hiểu bản thân và tìm thấy tự do cho chính mình 
 Trong những chương đầu tiên, Miguel đã đặt nền tảng cơ bản cho cuốn sách bằng cách đưa ra một khung tham chiếu chặt chẽ dựa trên phương pháp của người Toltec. Tác giả giải thích cho chúng ta thấy làm thế nào mà các sự kiện và hành động trong quá khứ có thể quyết định thực tại của chúng ta. Ở những chương tiếp theo, tác giả cung cấp các công cụ cần thiết để giúp chúng ta khám phá bản thân ở cấp độ sâu nhất, vạch trần những niềm tin sai sự thật mà chúng ta đã chấp nhận để rồi tự giới hạn chính mình, đồng thời giải phóng bản thân khỏi các bám chấp đang liên tục trói buộc ta. Các chương cuối cùng sẽ giúp chúng ta vạch ra một lộ trình mới hướng về nơi ta thực sự muốn đến, và đối với một vài người thì hướng đi mới này có thể rất khác so với hướng đi hiện tại. 
 Miguel nhiều lần nhấn mạnh rằng chỉ đọc sách thôi là không đủ, mà chúng ta cần phải áp dụng những kiến thức đó vào đời sống thì mới thực sự nhận được nhiều giá trị. Vì thế, Miguel đã đưa ra các bài tập thực hành ở cuối mỗi chương nhằm giúp chúng ta có thể áp dụng vào đời sống. Theo ngôn ngữ của người Hy Lạp thì kiến thức (logos) sẽ được thực hành (praxis) thông qua các bài tập. Hay nói cách khác, như Miguel từng viết rằng, “nắm bắt kiến thức chỉ là bước đầu tiên, thực hành kiến thức đó mới là bước khiến ta trở nên thành thạo”. 
 Và đó chỉ là một phần những giá trí mà cuốn sách The Mastery of Self – Hành trình thấu hiểu bản thân và tìm thấy tự do của tác giả Don Miguel Ruiz Jr. mang đến cho bạn. Sẽ còn rất nhiều điều hữu ích ở đây, đồng hành cùng bạn trên con đường khám phá và thấu hiểu bản thân đấy! Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
"204363219","“Các cháu vẫn khỏe chứ? Mới đây vừa kỉ niệm 26 năm ngày ra mắt bộ truyện, và giờ loạt phim hoạt hình của Ninja Rantaro tại Nhật cũng bước vào năm thứ 20 rồi các cháu ạ. Mấy hôm trước có buổi nói chuyện với nhà biên kịch của phim, bác đã rất cảm phục nhiệt huyết học tập, sự đa tài và nhân cách đẹp của bác ấy. Bác Soubee tự nhủ mình cũng phải luôn luôn nỗ lực để ngày
 càng chín chắn, trưởng thành như các bạn ninja nhí của chúng ta vậy!!” - Soubee Amako Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
"49910019","""Chào con! Ba mẹ đã sẵn sàng!"" - Cuốn sách không chỉ được viết trên nền tảng khoa học của một bác sĩ mà còn chứa chan tình yêu của một người mẹ. 
 
Chắc chắn bạn cũng sẽ cảm nhận được những điểm hay và thực tế trong quyển sách này, từ nền tảng khoa học vững chắc cho đến kiến thức chăm sóc trẻ mới nhất, và nhất là phù hợp với hoàn cảnh của Việt Nam. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
"67040913","Trong suốt hơn 20 thế kỷ qua, những lời dạy trong các văn bản linh thiêng cổ xưa đã khiến hầu hết mọi người hiểu nhầm. Chỉ có một số ít người trong lịch sử có thể nhận ra rằng nó thật ra là một câu đố, và một khi đã giải được ẩn ý trong câu đố ấy -  để vén bức màn bí mật - một thế giới hoàn toàn mới sẽ xuất hiện trước mắt bạn. 
 Trong quyển sách phép màu, Rhonda Byrne đã tiết lộ bí mật đầy quyền năng này cho cả thế giới. Và sau đó, với hành trình 28 ngày nhiệm màu, cô ấy hướng dẫn chúng ta phương pháp ứng dụng kiến thức này vào cuộc sống thường nhật. 
 Bất kể bạn là ai, bất kể bạn ở đâu, bất kể tình huống hiện tại của bạn là gì, phép màu sẽ thay đổi hoàn toàn cuộc sống của bạn! ( sách bìa mềm in đen trắng giấy nâu chống lóa Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
"116406678","Quản Lý Nghiệp (Tái Bản 2021)
  Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
"203763651","Peace Kentaro – cậu thiếu niên luôn nỗ lực trở thành một kĩ sư hàng đầu vẫn miệt mài cho ra đời những sáng chế mới với tinh thần sáng tạo tuyệt vời!! Có điều, đôi khi sự hăng hái quá đà lại khiến cậu chuốc lấy thất bại. Kentaro sẽ còn tiếp tục trưởng thành nhờ sự ủng hộ của mọi người quanh cậu!! Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
"74460137","7 Thói Quen Của Bạn Trẻ Thành Đạt nhấn mạnh những gì chúng ta có được trong cuộc sống đều bắt nguồn từ những thói quen của chính mình. Ai cũng có những thói quen tốt và những thói quen xấu, và mỗi chúng ta phải rèn luyện những thói quen tốt và biết điều chỉnh, loại bỏ những thói quen xấu. Tuổi thiếu niên và trưởng thành là tuổi đẹp nhất và quan trọng nhất của đời người. Đây cũng là lứa tuổi mà các bạn trẻ bắt đầu khám phá cuộc sống với những ước mơ, khát vọng. Phía trước các bạn là những con đường bằng phẳng, êm ái; nhưng cũng có con đường quanh co, khúc khuỷu. Có con đường ngập tràn ánh sáng, cũng có con đường u ám, đầy cạm bẫy, nguy cơ. Nhưng làm cách nào để chọn được con đường đến đích thành công, hạnh phúc mà không lãng phí nhiều thời gian, công sức? Tất cả đều phụ thuộc vào tính cách và thói quen của các bạn. Có những thói quen đem đến sự thành công, hạnh phúc; nhưng cũng có những thói quen cản trở, phá hỏng sự phát triển của bạn. Cuốn sách phân tích tác động lớn lao của 7 thói quen quan trọng nhất của những bạn trẻ cần có. Đó là: Có thái độ sống tích cực; Biết định hướng tương lai; Việc hôm nay không để ngày mai; Tư duy cùng thắng; Biết lắng nghe để thấu hiểu và để được thấu hiểu; Có tinh thần hợp tác; Biết rèn luyện và phát triển những kỹ năng. Đây là những thói quen để các bạn tự rèn luyện bản thân và xây dựng các mối quan hệ của mình. Các thói quen này bổ sung và hỗ trợ chặt chẽ cho nhau, tạo một mắt xích bền vững giúp các bạn chọn lựa được hướng đi đúng đắn cho cuộc đời mình. Với phong cách ngắn gọn, vui tươi, dí dỏm, dễ hiểu, nhiều hình ảnh minh họa sinh động và dễ thương, 7 Thói Quen Của Bạn Trẻ Thành Đạt của Sean Covey đã được bạn đọc hoan nghênh và đón nhận nhiệt tình trên khắp thế giới. Đây là một trong những cuốn sách được các đọc giả trẻ yêu thích và đọc nhiều nhất, với số lượng phát hành lên đến hàng triệu bản trong một thời gian ngắn. Quả thật, 7 Thói Quen Của Bạn Trẻ Thành Đạt chính là chiếc la bàn, là kim chỉ nam giúp ta tránh được những thói quen tai hại nhằm xây dựng những thói quen tốt, hướng đến thành công. Đây không chỉ là một cuốn sách để đọc mà còn là một cẩm nang quý giá đưa bạn đến thành công, đạt được ước mơ của mình, xứng đáng với sự tin yêu của bạn bè, người thân, gia đình và xã hội."
"31509726","A charming and poignant story of young stirrings and lovely emotions of several youngsters who first experienced love and compassions... By a favorite writer of novels and stories for the young and the young-at-heart."
"148750882",""
"200694865","Đương sự sẽ được thông báo trước về cái chết của mình vỏn vẹn 24 giờ thông qua một tờ giấy báo tử với tên gọi “Ikigami”. Vậy 24 giờ cuối đời, họ sẽ trải qua như thế nào? Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
